Scenario,death_elig,death_inelig,C1_death_elig,C1_death_inelig,C1_total_death,B_over_D,C_over_E,B_over_F,C_over_F,PAF_B,PAF_C,PAF_C1,infection_elig,infection_inelig,C1_infection_elig,C1_infection_inelig,C1_total_infection,K_over_M,L_over_N
1,0.0318796409500003,1.30213720264999,0.0183176784400002,1.14671364584998,1.16503132428998,1.7403756188003,1.13553824650338,0.0273637629180734,1.11768428496424,0.0101662603250208,0.116507941819218,0.873325797855762,27.8620999999999,81.777500000001,15.9544999999999,72.5319000000007,88.4864000000007,1.74634742549124,1.12746943069188
2,0.0912024103699989,1.3896254568,0.0487645839900001,1.11626674030001,1.16503132429001,1.870259169825,1.24488655500613,0.0782832259257746,1.19277947968211,0.0286581764976516,0.184598576620797,0.786743246881551,52.1501000000005,75.3244000000001,27.6570000000004,60.8294000000006,88.486400000001,1.88560219835845,1.23828937980646
3,0.981516754850004,1.15120339487001,0.445872055,0.719159269290003,1.16503132429,2.20134171640338,1.60076278514292,0.842480999768965,0.988130851822015,0.251155642675539,0.202578911085323,0.546265446239137,41.5422000000001,110.602399999999,18.9426999999999,69.5437000000008,88.4864000000007,2.19304534200511,1.59040143104261
4,2.02753797185001,0.929935201390013,0.707979163450006,0.457052160840005,1.16503132429001,2.86383848073967,2.03463692126717,1.74032914787559,0.79820617866797,0.446177777820509,0.15989427895028,0.393927943229211,143.1769,82.4770000000006,47.5050000000003,40.9814000000003,88.4864000000006,3.01393327018206,2.01254715553886
5,1.10253733950001,1.20742876580002,0.464189733440002,0.700841590850008,1.16503132429001,2.37518682571749,1.72282692917183,0.946358536901924,1.03639167516449,0.27634500982303,0.219305025206947,0.504349964970023,85.191,91.8169000000002,34.8972000000003,53.5892000000003,88.4864000000006,2.44119872081426,1.71334709232457
6,4.41791325136993,0,1.16503132428997,0,1.16503132428997,3.79209825457908,NaN,3.79209825457908,0,0.736293752728461,0,0.263706247271539,348.637900000001,0,88.4863999999998,0,88.4863999999998,3.94001677093883,NaN
